#front|back
<h1>引っ張る</h1>|<div class='reading'>ひっぱる</div><br><hr><div class='tags'>v5r-vt</div><br><div class='definition'>* to pull</div><br><div class='definition'>* to draw</div><br><div class='definition'>* to pull tight</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to string (lines)</div><br><div class='definition'>* to run (cable)</div><br><div class='definition'>* to stretch</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to pull towards oneself (e.g. someone's sleeve)</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to drag</div><br><div class='definition'>* to haul</div><br><div class='definition'>* to tow</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to lead (e.g. one's followers)</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to take someone somewhere (e.g. a suspect to the police)</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to tempt into joining</div><br><div class='definition'>* to strongly invite to join</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to delay</div><br><div class='definition'>* to prolong</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to lengthen the pronunciation (of a word)</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to quote</div><br><div class='definition'>* to cite</div><br><div class='definition'>* to reference</div><br><br><div class='tags'>baseb-v5r-vt</div><br><div class='definition'>* to pull the ball</div><br><br><div class='tags'>v5r-vt</div><br><div class='definition'>* to wear</div><br><div class='definition'>* to put on</div><br><br>
<h1>購入</h1>|<div class='reading'>こうにゅう</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* purchase</div><br><div class='definition'>* buying</div><br><br>
<h1>掃除</h1>|<div class='reading'>そうじ</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* cleaning</div><br><div class='definition'>* sweeping</div><br><div class='definition'>* dusting</div><br><div class='definition'>* scrubbing</div><br><br>
<h1>砂</h1>|<div class='reading'>すな</div><br><div class='reading'>いさご</div><br><hr><div class='tags'>n</div><br><div class='definition'>* sand</div><br><div class='definition'>* grit</div><br><br>
<h1>届ける</h1>|<div class='reading'>とどける</div><br><hr><div class='tags'>v1-vt</div><br><div class='definition'>* to deliver</div><br><div class='definition'>* to forward</div><br><div class='definition'>* to send</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to report</div><br><div class='definition'>* to notify</div><br><div class='definition'>* to file notice (to the authorities)</div><br><div class='definition'>* to give notice</div><br><div class='definition'>* to register</div><br><br>
<h1>仕方</h1>|<div class='reading'>しかた</div><br><hr><div class='tags'>n</div><br><div class='definition'>* way</div><br><div class='definition'>* method</div><br><div class='definition'>* means</div><br><div class='definition'>* resource</div><br><div class='definition'>* course</div><br><br>
<h1>預ける</h1>|<div class='reading'>あずける</div><br><hr><div class='tags'>v1-vt</div><br><div class='definition'>* to leave (in someone's keeping)</div><br><div class='definition'>* to put (in someone's care)</div><br><div class='definition'>* to place (in someone's custody)</div><br><div class='definition'>* to entrust (someone) with</div><br><div class='definition'>* to deposit</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to put (someone) in charge of</div><br><div class='definition'>* to leave (a matter) in someone's hands</div><br><div class='definition'>* to let (someone) decide</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to lean on</div><br><div class='definition'>* to put one's weight on</div><br><br>
<h1>すっかり</h1>|<div class='reading'>すっかり</div><br><hr><div class='tags'>on-mim-adv-adv-to</div><br><div class='definition'>* all</div><br><div class='definition'>* completely</div><br><div class='definition'>* totally</div><br><div class='definition'>* entirely</div><br><div class='definition'>* thoroughly</div><br><br>
<h1>癖</h1>|<div class='reading'>くせ</div><br><div class='reading'>へき</div><br><div class='reading'>クセ</div><br><hr><div class='tags'>n</div><br><div class='definition'>* habit (usu. a bad one)</div><br><div class='definition'>* tendency</div><br><br><div class='tags'>n</div><br><div class='definition'>* peculiarity</div><br><div class='definition'>* idiosyncrasy</div><br><div class='definition'>* mannerism</div><br><div class='definition'>* quirk</div><br><br><div class='tags'>n</div><br><div class='definition'>* crease</div><br><div class='definition'>* wrinkle</div><br><div class='definition'>* curl</div><br><div class='definition'>* kink</div><br><br>
<h1>感動</h1>|<div class='reading'>かんどう</div><br><hr><div class='tags'>n-vs-vi</div><br><div class='definition'>* being deeply moved emotionally</div><br><div class='definition'>* excitement</div><br><div class='definition'>* passion</div><br><div class='definition'>* inspiration</div><br><div class='definition'>* deep emotion</div><br><div class='definition'>* strong impression</div><br><br>
<h1>騙す</h1>|<div class='reading'>だます</div><br><hr><div class='tags'>v5s-vt</div><br><div class='definition'>* to trick</div><br><div class='definition'>* to cheat</div><br><div class='definition'>* to deceive</div><br><br><div class='tags'>v5s-vt</div><br><div class='definition'>* to coax</div><br><div class='definition'>* to wheedle</div><br><div class='definition'>* to soothe and humor (humour)</div><br><br>
<h1>揚げる</h1>|<div class='reading'>あげる</div><br><hr><div class='tags'>v1-vt</div><br><div class='definition'>* to raise</div><br><div class='definition'>* to elevate</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to do up (one's hair)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to fly (a kite, etc.)</div><br><div class='definition'>* to launch (fireworks, etc.)</div><br><div class='definition'>* to surface (a submarine, etc.)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to land (a boat)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to deep-fry</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to show someone (into a room)</div><br><br><div class='tags'>pol-uk-v1-vt</div><br><div class='definition'>* to give</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to send someone (away)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to enrol (one's child in school)</div><br><div class='definition'>* to enroll</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to increase (price, quality, status, etc.)</div><br><div class='definition'>* to develop (talent, skill)</div><br><div class='definition'>* to improve</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to make (a loud sound)</div><br><div class='definition'>* to raise (one's voice)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to earn (something desirable)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to praise</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to give (an example, etc.)</div><br><div class='definition'>* to cite</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to summon up (all of one's energy, etc.)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to arrest</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to nominate</div><br><br><div class='tags'>uk-v1-vt</div><br><div class='definition'>* to summon (for geishas, etc.)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to bear (a child)</div><br><br><div class='tags'>v1-vt</div><br><div class='definition'>* to conduct (a ceremony, esp. a wedding)</div><br><br><div class='tags'>v1-vi</div><br><div class='definition'>* (of the tide) to come in</div><br><br><div class='tags'>v1-vi-vt</div><br><div class='definition'>* to vomit</div><br><br><div class='tags'>uk-pol-aux-v-v1</div><br><div class='definition'>* to do for (the sake of someone else)</div><br><br><div class='tags'>aux-v-v1</div><br><div class='definition'>* to complete ...</div><br><br><div class='tags'>hum-aux-v-v1</div><br><div class='definition'>* to humbly do ...</div><br><br>
<h1>偉い</h1>|<div class='reading'>えらい</div><br><div class='reading'>エライ</div><br><div class='reading'>エラい</div><br><hr><div class='tags'>adj-i</div><br><div class='definition'>* great</div><br><div class='definition'>* excellent</div><br><div class='definition'>* admirable</div><br><div class='definition'>* remarkable</div><br><div class='definition'>* distinguished</div><br><div class='definition'>* important</div><br><div class='definition'>* celebrated</div><br><div class='definition'>* famous</div><br><div class='definition'>* eminent</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* very troublesome</div><br><div class='definition'>* awful</div><br><div class='definition'>* terrible</div><br><br><div class='tags'>uk-adj-i</div><br><div class='definition'>* tiring</div><br><div class='definition'>* tough</div><br><br><div class='tags'>uk-adv</div><br><div class='definition'>* very</div><br><div class='definition'>* extremely</div><br><br>
<h1>喜び</h1>|<div class='reading'>よろこび</div><br><hr><div class='tags'>n</div><br><div class='definition'>* joy</div><br><div class='definition'>* delight</div><br><div class='definition'>* rapture</div><br><div class='definition'>* pleasure</div><br><div class='definition'>* gratification</div><br><div class='definition'>* rejoicing</div><br><div class='definition'>* congratulations</div><br><div class='definition'>* felicitations</div><br><br>
<h1>実行</h1>|<div class='reading'>じっこう</div><br><hr><div class='tags'>n-vs-vt</div><br><div class='definition'>* execution (e.g. of a plan)</div><br><div class='definition'>* carrying out</div><br><div class='definition'>* (putting into) practice</div><br><div class='definition'>* action</div><br><div class='definition'>* implementation</div><br><div class='definition'>* fulfillment</div><br><div class='definition'>* realization</div><br><br><div class='tags'>comp-n-vs-vt</div><br><div class='definition'>* execution (of a program)</div><br><div class='definition'>* run</div><br><br>
<h1>ぶつかる</h1>|<div class='reading'>ぶつかる</div><br><div class='reading'>ぶっつかる</div><br><hr><div class='tags'>v5r-vi</div><br><div class='definition'>* to bump into</div><br><div class='definition'>* to run into</div><br><div class='definition'>* to collide with</div><br><div class='definition'>* to hit</div><br><div class='definition'>* to strike</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to encounter</div><br><div class='definition'>* to meet with</div><br><div class='definition'>* to come upon</div><br><div class='definition'>* to face</div><br><div class='definition'>* to run up against</div><br><div class='definition'>* to be confronted with</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to clash (of opinions, people, etc.)</div><br><div class='definition'>* to conflict</div><br><div class='definition'>* to be at odds (with)</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to clash (of events)</div><br><div class='definition'>* to fall (on)</div><br><div class='definition'>* to occur at the same time (as)</div><br><br><div class='tags'>v5r-vi</div><br><div class='definition'>* to tackle head-on (a difficulty)</div><br><div class='definition'>* to confront boldly</div><br><br>
